"Name","Born","label"
"Michelangelo Antonioni","1912","michelangelo_antonioni"
"Federico Fellini","1920","federico_fellini"
"Pier Paolo Pasolini","1922","pier_pasolini"
"Mel Brooks","1926","mel_brooks"
"Stanley Kubrick","1928","stanley_kubrick"
"Sergio Leone","1929","sergio_leone"
"Jean-Luc Godard","1930","jean_luc_godard"
"François Truffaut","1932","francois_truffaut"
"Roman Polanski","1933","roman_polanski"
"Woody Allen","1935","woody_allen"
"Francis Ford Coppola","1939","francis_coppola"
"Brian De Palma","1940","brian_palma"
"Martin Scorsese","1942","martin_scorsese"
"George Lucas","1944","george_lucas"
"David Lynch","1946","david_lynch"
"Steven Spielberg","1946","steven_spielberg"
"John Carpenter","1948","john_carpenter"
"James Cameron","1954","james_cameron"